INFO:2025-03-13 12:43:57,335: Epoch [140/201], Step [180/641], Mel Loss: 0.19226, Adv Loss: 0.69410, Disc Loss: 1.33880, Mono Loss: 0.05042, S2S Loss: 0.01372
INFO:2025-03-13 12:48:03,540: Epoch [140/201], Step [200/641], Mel Loss: 0.19337, Adv Loss: 0.70090, Disc Loss: 1.35478, Mono Loss: 0.02740, S2S Loss: 0.00616
INFO:2025-03-13 12:52:02,303: Epoch [140/201], Step [220/641], Mel Loss: 0.19539, Adv Loss: 0.68372, Disc Loss: 1.36760, Mono Loss: 0.04017, S2S Loss: 0.00464
INFO:2025-03-13 12:56:08,047: Epoch [140/201], Step [240/641], Mel Loss: 0.19544, Adv Loss: 0.73880, Disc Loss: 1.36748, Mono Loss: 0.02724, S2S Loss: 0.02690
INFO:2025-03-13 13:00:08,100: Epoch [140/201], Step [260/641], Mel Loss: 0.19298, Adv Loss: 0.69303, Disc Loss: 1.34544, Mono Loss: 0.02558, S2S Loss: 0.00797
INFO:2025-03-13 13:04:12,959: Epoch [140/201], Step [280/641], Mel Loss: 0.19337, Adv Loss: 0.70575, Disc Loss: 1.35381, Mono Loss: 0.03065, S2S Loss: 0.01127
INFO:2025-03-13 13:08:09,967: Epoch [140/201], Step [300/641], Mel Loss: 0.19219, Adv Loss: 0.71516, Disc Loss: 1.34312, Mono Loss: 0.04132, S2S Loss: 0.00158
INFO:2025-03-13 13:12:24,370: Epoch [140/201], Step [320/641], Mel Loss: 0.19496, Adv Loss: 0.71580, Disc Loss: 1.37211, Mono Loss: 0.03068, S2S Loss: 0.00696
INFO:2025-03-13 13:17:42,424: Epoch [140/201], Step [340/641], Mel Loss: 0.19483, Adv Loss: 0.76623, Disc Loss: 1.36089, Mono Loss: 0.03547, S2S Loss: 0.00510
INFO:2025-03-13 13:22:19,664: Epoch [140/201], Step [360/641], Mel Loss: 0.19583, Adv Loss: 0.73120, Disc Loss: 1.36555, Mono Loss: 0.03088, S2S Loss: 0.00522
INFO:2025-03-13 13:26:15,104: Epoch [140/201], Step [380/641], Mel Loss: 0.19272, Adv Loss: 0.70258, Disc Loss: 1.36677, Mono Loss: 0.04884, S2S Loss: 0.01219
INFO:2025-03-13 13:30:16,434: Epoch [140/201], Step [400/641], Mel Loss: 0.19139, Adv Loss: 0.69969, Disc Loss: 1.37280, Mono Loss: 0.02760, S2S Loss: 0.01671
INFO:2025-03-13 13:34:19,310: Epoch [140/201], Step [420/641], Mel Loss: 0.19246, Adv Loss: 0.71660, Disc Loss: 1.35620, Mono Loss: 0.03711, S2S Loss: 0.02031
INFO:2025-03-13 13:38:20,053: Epoch [140/201], Step [440/641], Mel Loss: 0.18945, Adv Loss: 0.76006, Disc Loss: 1.35108, Mono Loss: 0.05192, S2S Loss: 0.00623
INFO:2025-03-13 13:42:23,148: Epoch [140/201], Step [460/641], Mel Loss: 0.19368, Adv Loss: 0.68167, Disc Loss: 1.34193, Mono Loss: 0.03678, S2S Loss: 0.00141
INFO:2025-03-13 13:46:21,138: Epoch [140/201], Step [480/641], Mel Loss: 0.19234, Adv Loss: 0.68768, Disc Loss: 1.36145, Mono Loss: 0.02286, S2S Loss: 0.00108
INFO:2025-03-13 13:50:20,310: Epoch [140/201], Step [500/641], Mel Loss: 0.19689, Adv Loss: 0.73431, Disc Loss: 1.35106, Mono Loss: 0.01775, S2S Loss: 0.00385
INFO:2025-03-13 13:54:17,502: Epoch [140/201], Step [520/641], Mel Loss: 0.19467, Adv Loss: 0.68887, Disc Loss: 1.36373, Mono Loss: 0.03705, S2S Loss: 0.00583
INFO:2025-03-13 13:58:23,336: Epoch [140/201], Step [540/641], Mel Loss: 0.19939, Adv Loss: 0.71547, Disc Loss: 1.36578, Mono Loss: 0.03295, S2S Loss: 0.00284
INFO:2025-03-13 14:02:24,656: Epoch [140/201], Step [560/641], Mel Loss: 0.19622, Adv Loss: 0.71038, Disc Loss: 1.33274, Mono Loss: 0.03887, S2S Loss: 0.01019
INFO:2025-03-13 14:06:26,095: Epoch [140/201], Step [580/641], Mel Loss: 0.19678, Adv Loss: 0.72089, Disc Loss: 1.38859, Mono Loss: 0.02373, S2S Loss: 0.01187
INFO:2025-03-13 14:10:22,471: Epoch [140/201], Step [600/641], Mel Loss: 0.19852, Adv Loss: 0.87011, Disc Loss: 1.43862, Mono Loss: 0.01869, S2S Loss: 0.02298
INFO:2025-03-13 14:14:22,223: Epoch [140/201], Step [620/641], Mel Loss: 0.19925, Adv Loss: 0.73671, Disc Loss: 1.35206, Mono Loss: 0.05728, S2S Loss: 0.03094
