INFO:2025-03-20 16:08:28,793: Epoch [21/101], Step [80/641], Loss: 0.30992, Avd Loss: 0.74386,  Disc Loss: 1.36105, Dur Loss: 0.45325, Norm Loss: 0.41419, F0 Loss: 2.35763
INFO:2025-03-20 16:11:22,888: Epoch [21/101], Step [100/641], Loss: 0.30502, Avd Loss: 0.76913,  Disc Loss: 1.33759, Dur Loss: 0.45369, Norm Loss: 0.44263, F0 Loss: 2.15671
INFO:2025-03-20 16:13:48,920: Epoch [21/101], Step [120/641], Loss: 0.30189, Avd Loss: 0.65035,  Disc Loss: 1.36777, Dur Loss: 0.45345, Norm Loss: 0.35896, F0 Loss: 1.86401
INFO:2025-03-20 16:16:15,124: Epoch [21/101], Step [140/641], Loss: 0.30248, Avd Loss: 0.76262,  Disc Loss: 1.36496, Dur Loss: 0.43744, Norm Loss: 0.37215, F0 Loss: 2.17967
INFO:2025-03-20 16:18:47,276: Epoch [21/101], Step [160/641], Loss: 0.29452, Avd Loss: 0.79291,  Disc Loss: 1.31040, Dur Loss: 0.47289, Norm Loss: 0.43767, F0 Loss: 2.19562
INFO:2025-03-20 16:21:14,775: Epoch [21/101], Step [180/641], Loss: 0.29900, Avd Loss: 0.86019,  Disc Loss: 1.32078, Dur Loss: 0.41283, Norm Loss: 0.44514, F0 Loss: 1.97652
INFO:2025-03-20 16:23:42,982: Epoch [21/101], Step [200/641], Loss: 0.30474, Avd Loss: 0.73630,  Disc Loss: 1.30128, Dur Loss: 0.44419, Norm Loss: 0.39100, F0 Loss: 2.40100
INFO:2025-03-20 16:26:04,802: Epoch [21/101], Step [220/641], Loss: 0.29929, Avd Loss: 0.74975,  Disc Loss: 1.37631, Dur Loss: 0.55554, Norm Loss: 0.38448, F0 Loss: 2.00657
INFO:2025-03-20 16:28:28,499: Epoch [21/101], Step [240/641], Loss: 0.29775, Avd Loss: 0.78826,  Disc Loss: 1.34832, Dur Loss: 0.46186, Norm Loss: 0.38787, F0 Loss: 1.99369
INFO:2025-03-20 16:30:51,324: Epoch [21/101], Step [260/641], Loss: 0.30058, Avd Loss: 0.72889,  Disc Loss: 1.36033, Dur Loss: 0.42813, Norm Loss: 0.37791, F0 Loss: 2.08808
INFO:2025-03-20 16:33:20,137: Epoch [21/101], Step [280/641], Loss: 0.29861, Avd Loss: 0.75084,  Disc Loss: 1.33968, Dur Loss: 0.45886, Norm Loss: 0.40552, F0 Loss: 2.09143
INFO:2025-03-20 16:35:49,183: Epoch [21/101], Step [300/641], Loss: 0.30233, Avd Loss: 0.77643,  Disc Loss: 1.35423, Dur Loss: 0.42100, Norm Loss: 0.36243, F0 Loss: 1.97736
INFO:2025-03-20 16:38:13,150: Epoch [21/101], Step [320/641], Loss: 0.30289, Avd Loss: 0.77394,  Disc Loss: 1.36829, Dur Loss: 0.46894, Norm Loss: 0.42135, F0 Loss: 2.10758
INFO:2025-03-20 16:40:55,017: Epoch [21/101], Step [340/641], Loss: 0.29969, Avd Loss: 0.65267,  Disc Loss: 1.31868, Dur Loss: 0.45087, Norm Loss: 0.40346, F0 Loss: 2.10361
